name,time,airtemp,ambtemp,fermtemp,sensor
temp_info,1636834211534785383,44.285,61.61,66.2216,temp1
temp_info,1636834272543124703,44.285,61.834999999999994,66.2216,temp1
temp_info,1636834333503133754,44.3966,61.834999999999994,66.2216,temp1
temp_info,1636834394571885771,44.3966,61.834999999999994,66.2216,temp1
temp_info,1636834455503024068,44.3966,62.059999999999995,66.2216,temp1
temp_info,1636834516499456448,43.946600000000004,62.059999999999995,66.2216,temp1
temp_info,1636834577503129803,43.946600000000004,62.059999999999995,66.335,temp1
temp_info,1636834638463023512,43.946600000000004,62.1716,66.335,temp1
temp_info,1636834699422583559,43.946600000000004,62.1716,66.335,temp1
temp_info,1636834760373991712,43.946600000000004,62.1716,66.4466,temp1
temp_info,1636834821332739876,43.946600000000004,62.3966,66.4466,temp1
temp_info,1636834882304201978,44.1716,62.3966,66.4466,temp1
temp_info,1636834943260735777,44.1716,62.3966,66.56,temp1
temp_info,1636835004212918793,44.1716,62.6216,66.56,temp1
temp_info,1636835065184006371,44.06,62.6216,66.56,temp1
temp_info,1636835126133381197,44.06,62.6216,66.56,temp1
temp_info,1636835187103023739,44.06,62.8466,66.56,temp1
temp_info,1636835248133148956,43.946600000000004,62.8466,66.56,temp1
temp_info,1636835309153428626,43.946600000000004,62.8466,66.6716,temp1
temp_info,1636835370185717710,43.946600000000004,63.071600000000004,66.6716,temp1
temp_info,1636835431183416105,44.06,63.071600000000004,66.6716,temp1
temp_info,1636835492244852451,44.06,63.071600000000004,66.8966,temp1
temp_info,1636835553183197305,44.06,63.2966,66.8966,temp1
temp_info,1636835614165171507,44.1716,63.2966,66.8966,temp1
temp_info,1636835675143182343,44.1716,63.2966,66.8966,temp1
temp_info,1636835736172242217,44.1716,63.41,66.8966,temp1
temp_info,1636835797192668324,44.1716,63.41,66.8966,temp1
temp_info,1636835858256837904,44.1716,63.41,67.01,temp1
temp_info,1636835919263485346,44.1716,63.5216,67.01,temp1
